# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('nonrev_aa_roottest.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
1,-32181.44185,0,0.136,1,1,0.1500304303,0.8876283797
854,-32181.44192,6.552129344e-05,0.166,0,0.993,0.1500215051,0.001057742196
853,-32181.44202,0.0001661420865,0.189,0,0.993,0.1500061736,0.8871766031
850,-32182.58676,1.144910663,0.124,0.301,0.985,0.07604679804,0.5859899828
840,-32182.84778,1.405931729,0.034,0.255,0.979,0.04606285922,0.6027848299
841,-32182.84781,1.405956288,0.046,0.255,0.979,0.04606302819,0.5626229179
2,-32183.62214,2.180287204,0,0.07,0.979,0.01502225293,0.04637706738
839,-32183.62823,2.18637571,0,0.079,0.976,0.01535385559,0.08558629453
838,-32183.67508,2.233226428,0.059,0.166,0.968,0.03773484049,0.4240198969
851,-32183.82771,2.385857208,0.004,0.108,0.972,0.01595785106,0.0020308645
3,-32184.12001,2.678156716,0.004,0.097,0.979,0.01554713387,0.1030642904
847,-32184.39761,2.955754998,0.006,0.155,0.942,0.02070717906,0.372750812
848,-32184.39768,2.955825629,0.01,0.154,0.942,0.02070272822,0.3699759624
849,-32184.39782,2.955970683,0.017,0.154,0.942,0.02069968195,0.3733409935
844,-32184.47259,3.030741037,0.017,0.15,0.935,0.01872222644,0.373768928
843,-32184.50228,3.060430536,0.021,0.151,0.936,0.01848345737,0.4132685604
842,-32185.30878,3.866922768,0.002,0.095,0.909,0.008797070611,0.02752184329
837,-32185.70804,4.266185633,0.03,0.1,0.927,0.01758419442,0.2088813484
4,-32186.29652,4.854662521,0,0.057,0.931,0.003771134315,0.6910417795
5,-32186.573,5.13114603,0,0.067,0.921,0.005294629798,0.5150961204
62,-32186.57303,5.131178505,0,0.067,0.921,0.005293647085,0.5145341388
